rank,peak,direction,gradient,drop,horizontal_dist,start_offset_m,end_offset_m,summit_elev,start_elev,end_elev,total_face_height,latitude,longitude
142,Gheṅge Liru,NW,1.361,1007.3,740.0,150.0,890.0,6504.4,6452.3,5445.0,1856.8,28.251519,85.4678
143,Yazghil Group,E,1.358,1004.8,740.0,1440.0,2180.0,6345.1,6100.8,5096.0,1369.7,36.19797,75.295689
144,Gimmigelā,N,1.343,1007.3,750.0,270.0,1020.0,6196.4,6065.1,5057.8,1377.5,27.777434,88.06932
145,Lupghar Sar,W,1.341,1005.8,750.0,80.0,830.0,7144.3,7101.1,6095.2,1193.8,36.346829,75.005411
146,Dorje Lakpa,E,1.34,1004.8,750.0,140.0,890.0,6752.6,6658.2,5653.3,1346.6,28.17432,85.784778
147,Angelus,NW,1.337,1003.0,750.0,90.0,840.0,6679.1,6644.9,5641.9,1095.6,35.852539,76.487606
148,Gyaji Kang,NE,1.335,1001.3,750.0,360.0,1110.0,6930.1,6786.2,5784.9,1465.1,28.738027,84.376954
149,Malunguttil Sar,NE,1.332,1012.6,760.0,1140.0,1900.0,7035.2,6425.5,5412.9,2581.6,36.374826,75.159421
150,Bilchhar Dobani,E,1.327,1008.7,760.0,310.0,1070.0,6108.8,6058.8,5050.1,1272.4,35.955769,74.64074
151,Annapurna Fang,SW,1.323,1005.8,760.0,290.0,1050.0,7360.8,7128.6,6122.8,2622.8,28.573227,83.796824
152,Chamar,SW,1.322,1004.9,760.0,1660.0,2420.0,7263.3,6852.2,5847.3,1874.4,28.06162,86.635174
153,Tent Peak,SW,1.319,1002.2,760.0,2230.0,2990.0,7126.7,6940.9,5938.7,1188.1,27.771413,88.1768
154,Kangsar Kang,NE,1.318,1001.6,760.0,160.0,920.0,7188.3,7119.3,6117.7,2015.9,28.616706,83.875637
155,Dhaulagiri V,E,1.311,1009.2,770.0,220.0,990.0,7501.0,7275.1,6265.9,1978.5,28.73402,83.368268
156,Namika,NW,1.306,1005.2,770.0,50.0,820.0,6251.4,6252.7,5247.5,2270.4,35.468122,76.45483
157,Kruksum East,S,1.302,1002.9,770.0,60.0,830.0,6404.6,6393.5,5390.6,1926.4,35.819234,76.1933
158,Gondogoro Ri,N,1.3,1001.2,770.0,0.0,770.0,6579.9,6592.1,5590.9,1067.7,35.677078,76.406307
159,Lamjung Himal,S,1.295,1010.2,780.0,340.0,1120.0,6965.7,6606.8,5596.6,2306.6,28.482571,84.1884
160,Chulu,SW,1.285,1002.3,780.0,120.0,900.0,6271.6,6325.4,5323.1,1541.6,28.738225,84.024375
161,Baltoro Kangri III,E,1.274,1006.4,790.0,1310.0,2100.0,7243.6,7144.1,6137.8,1794.0,35.632378,76.699386
162,Chomo Lonzo,E,1.271,1003.8,790.0,1790.0,2580.0,7752.2,5963.6,4959.9,3030.1,27.93068,87.129976
163,Biale Kangri,SW,1.268,1001.9,790.0,0.0,790.0,6343.6,6311.2,5309.4,1892.3,35.799604,76.234642
164,Ganesh V,SW,1.263,1010.3,800.0,460.0,1260.0,6636.8,6444.7,5434.4,1598.5,28.326188,85.158094
165,Gasherbrum II,NE,1.257,1018.2,810.0,420.0,1230.0,7952.0,7561.0,6542.8,2240.8,35.763049,76.659438
